Onset_b,Duration_b,Channel_MIDI,Pitch_MIDI,Vel_MIDI,Onset_s,Duration_s,Time_signature,T_sig_num,T_sig_den,Key_5th_num,Key_nominal,Mode,Tempo,Dur_diff,Ons_diff,RMS,Nominal
46.0,0.9979166666666668,1.0,67.0,49.0,31.207619047619048,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,7.040937047619046,0.0012894916241508,0.1159401411377798,F
46.0,0.9979166666666668,1.0,72.0,49.0,31.207619047619048,0.4170884353741543,4/4,4,4,1,G,major,143.5546874999984,7.040937047619046,0.0012894916241543,0.1159401411377798,F
47.0,0.9979166666666668,1.0,79.0,49.0,31.62557823129252,0.4170884353741543,4/4,4,4,1,G,major,143.5546874999984,7.04222923129252,0.0012894916241543,0.1133452930317866,F
47.0,0.9979166666666668,1.0,64.0,49.0,31.62557823129252,0.4170884353741543,4/4,4,4,1,G,major,143.5546874999984,7.04222923129252,0.0012894916241543,0.1133452930317866,F
47.0,0.9979166666666668,1.0,67.0,49.0,31.62557823129252,0.4170884353741543,4/4,4,4,1,G,major,143.5546874999984,7.04222923129252,0.0012894916241543,0.1133452930317866,F
47.0,0.9979166666666668,1.0,72.0,49.0,31.62557823129252,0.7183189720332559,4/4,4,4,1,G,major,83.35433467741956,7.04222923129252,0.3025200282832559,0.1085815656444533,F
48.0,3.997916666666667,1.0,52.0,49.0,32.345396825396826,2.5992804232804176,4/4,4,4,1,G,major,92.2851562500002,7.345380825396827,0.9334804795304176,0.1270348760657509,F
49.0,0.9979166666666668,1.0,81.0,49.0,32.995555555555555,0.6488042328042313,4/4,4,4,1,G,major,92.2851562500002,7.578872555555556,0.2330052890542313,0.1556515713080063,F
49.0,0.9979166666666668,1.0,66.0,49.0,32.995555555555555,0.6488042328042313,4/4,4,4,1,G,major,92.2851562500002,7.578872555555556,0.2330052890542313,0.1556515713080063,F
49.0,0.9979166666666668,1.0,67.0,49.0,32.995555555555555,0.6488042328042313,4/4,4,4,1,G,major,92.2851562500002,7.578872555555556,0.2330052890542313,0.1556515713080063,F
49.0,0.9979166666666668,1.0,74.0,49.0,32.995555555555555,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085,7.578872555555556,0.0012894916241472,0.1440030330211205,F
50.0,0.9979166666666668,1.0,76.0,49.0,33.41351473922902,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085,7.580164739229023,0.0012894916241472,0.1504363827923282,F
50.0,0.9979166666666668,1.0,66.0,49.0,33.41351473922902,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085,7.580164739229023,0.0012894916241472,0.1504363827923282,F
50.0,0.9979166666666668,1.0,67.0,49.0,33.41351473922902,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085,7.580164739229023,0.0012894916241472,0.1504363827923282,F
50.0,0.9979166666666668,1.0,74.0,49.0,33.41351473922902,0.4170884353741543,4/4,4,4,1,G,major,143.5546874999984,7.580164739229023,0.0012894916241543,0.1504363827923282,F
51.0,0.9979166666666668,1.0,81.0,49.0,33.8314739229025,0.4170884353741543,4/4,4,4,1,G,major,143.5546874999984,7.581456922902497,0.0012894916241543,0.1243800011377023,F
51.0,0.9979166666666668,1.0,66.0,49.0,33.8314739229025,0.4170884353741543,4/4,4,4,1,G,major,143.5546874999984,7.581456922902497,0.0012894916241543,0.1243800011377023,F
51.0,0.9979166666666668,1.0,67.0,49.0,33.8314739229025,0.4170884353741543,4/4,4,4,1,G,major,143.5546874999984,7.581456922902497,0.0012894916241543,0.1243800011377023,F
51.0,0.9979166666666668,1.0,74.0,49.0,33.8314739229025,0.5561179138321963,4/4,4,4,1,G,major,107.66601562500064,7.581456922902497,0.1403189700821963,0.1136589573794662,F
52.0,3.997916666666667,1.0,52.0,49.0,34.38875283446712,1.7637974300831578,4/4,4,4,1,G,major,135.9991776315779,7.72206883446712,0.0979974863331576,0.1356104282260249,F
53.0,0.9979166666666668,1.0,83.0,49.0,34.82993197278912,0.4402600151171613,4/4,4,4,1,G,major,135.9991776315779,7.746580972789118,0.0244610713671613,0.1347488291987098,F
53.0,0.9979166666666668,1.0,67.0,49.0,34.82993197278912,0.4402600151171613,4/4,4,4,1,G,major,135.9991776315779,7.746580972789118,0.0244610713671613,0.1347488291987098,F
53.0,0.9979166666666668,1.0,72.0,49.0,34.82993197278912,0.4402600151171613,4/4,4,4,1,G,major,135.9991776315779,7.746580972789118,0.0244610713671613,0.1347488291987098,F
53.0,0.9979166666666668,1.0,76.0,49.0,34.82993197278912,0.6256326530612173,4/4,4,4,1,G,major,95.70312500000112,7.746580972789118,0.2098337093112173,0.1354126186500187,F
54.0,0.9979166666666668,1.0,81.0,49.0,35.45687074829932,0.6256326530612173,4/4,4,4,1,G,major,95.70312500000112,7.956852748299315,0.2098337093112173,0.1440707446250725,F
54.0,0.9979166666666668,1.0,67.0,49.0,35.45687074829932,0.6256326530612173,4/4,4,4,1,G,major,95.70312500000112,7.956852748299315,0.2098337093112173,0.1440707446250725,F
54.0,0.9979166666666668,1.0,72.0,49.0,35.45687074829932,0.6256326530612173,4/4,4,4,1,G,major,95.70312500000112,7.956852748299315,0.2098337093112173,0.1440707446250725,F
54.0,0.9979166666666668,1.0,76.0,49.0,35.45687074829932,0.4170884353741543,4/4,4,4,1,G,major,143.5546874999984,7.956852748299315,0.0012894916241543,0.1250096423465991,F
55.0,0.9979166666666668,1.0,83.0,49.0,35.87482993197279,0.4170884353741543,4/4,4,4,1,G,major,143.5546874999984,7.958144931972789,0.0012894916241543,0.1443873438159795,F
55.0,0.9979166666666668,1.0,67.0,49.0,35.87482993197279,0.4170884353741543,4/4,4,4,1,G,major,143.5546874999984,7.958144931972789,0.0012894916241543,0.1443873438159795,F
55.0,0.9979166666666668,1.0,72.0,49.0,35.87482993197279,0.4170884353741543,4/4,4,4,1,G,major,143.5546874999984,7.958144931972789,0.0012894916241543,0.1443873438159795,F
55.0,0.9979166666666668,1.0,76.0,49.0,35.87482993197279,0.4866031746031753,4/4,4,4,1,G,major,123.04687499999982,7.958144931972789,0.0708042308531753,0.1364237389293381,F
56.0,3.997916666666667,1.0,52.0,88.0,36.36244897959184,2.135123204837483,4/4,4,4,1,G,major,112.34714673913084,8.029096979591838,0.4693232610874829,0.1533822852622693,F
57.0,0.9979166666666668,1.0,84.0,88.0,36.89650793650794,0.5329463340891893,4/4,4,4,1,G,major,112.34714673913084,8.146488936507936,0.1171473903391893,0.1741144394612329,F
57.0,0.9979166666666668,1.0,69.0,88.0,36.89650793650794,0.5329463340891893,4/4,4,4,1,G,major,112.34714673913084,8.146488936507936,0.1171473903391893,0.1741144394612329,F
57.0,0.9979166666666668,1.0,74.0,88.0,36.89650793650794,0.5329463340891893,4/4,4,4,1,G,major,112.34714673913084,8.146488936507936,0.1171473903391893,0.1741144394612329,F
57.0,0.9979166666666668,1.0,78.0,88.0,36.89650793650794,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,8.146488936507936,0.0012894916241508,0.1886333580453267,F
58.0,0.9979166666666668,1.0,83.0,88.0,37.314467120181405,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,8.147781120181406,0.0012894916241508,0.1558207400854452,F
58.0,0.9979166666666668,1.0,69.0,88.0,37.314467120181405,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,8.147781120181406,0.0012894916241508,0.1558207400854452,F
58.0,0.9979166666666668,1.0,74.0,88.0,37.314467120181405,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,8.147781120181406,0.0012894916241508,0.1558207400854452,F
58.0,0.9979166666666668,1.0,78.0,88.0,37.314467120181405,0.9963779289493576,4/4,4,4,1,G,major,60.09265988372093,8.147781120181406,0.5805789851993575,0.1419294535907461,F
59.0,0.9979166666666668,1.0,84.0,88.0,38.31292517006803,0.9963779289493576,4/4,4,4,1,G,major,60.09265988372093,8.729572170068028,0.5805789851993575,0.1220437043946264,F
59.0,0.9979166666666668,1.0,69.0,88.0,38.31292517006803,0.9963779289493576,4/4,4,4,1,G,major,60.09265988372093,8.729572170068028,0.5805789851993575,0.1220437043946264,F
59.0,0.9979166666666668,1.0,74.0,88.0,38.31292517006803,0.9963779289493576,4/4,4,4,1,G,major,60.09265988372093,8.729572170068028,0.5805789851993575,0.1220437043946264,F
59.0,0.9979166666666668,1.0,78.0,88.0,38.31292517006803,1.3902947845804978,4/4,4,4,1,G,major,43.06640625000004,8.729572170068028,0.9744958408304978,0.1044076117271381,F
60.0,3.997916666666667,1.0,52.0,88.0,39.70612244897959,3.527594860166288,4/4,4,4,1,G,major,67.9995888157895,9.706102448979593,1.8617949164162877,0.0343414181696893,P
62.0,1.9979166666666663,1.0,102.0,62.0,41.47083900226757,1.762878306878306,4/4,4,4,1,G,major,67.99958881578951,10.637485002267574,0.930412363128306,0.0083446937873258,P
62.0,1.9979166666666663,1.0,107.0,62.0,41.47083900226757,1.762878306878306,4/4,4,4,1,G,major,67.99958881578951,10.637485002267574,0.930412363128306,0.0083446937873258,P
