Onset_b,Duration_b,Channel_MIDI,Pitch_MIDI,Vel_MIDI,Onset_s,Duration_s,Time_signature,T_sig_num,T_sig_den,Key_5th_num,Key_nominal,Mode,Tempo,Dur_diff,Ons_diff,RMS
50.0,0.9979166666666667,1.0,76.0,49.0,26.958367346938775,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,1.125017346938776,0.001289491624150818,0.035489432859204015
50.0,0.9979166666666667,1.0,66.0,49.0,26.958367346938775,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,1.125017346938776,0.001289491624150818,0.035489432859204015
50.0,0.9979166666666667,1.0,67.0,49.0,26.958367346938775,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,1.125017346938776,0.001289491624150818,0.035489432859204015
50.0,0.9979166666666667,1.0,74.0,49.0,26.958367346938775,0.2548873771730911,4/4,4,4,1,G,major,234.90767045454578,1.125017346938776,-0.16091156657690886,0.026300468013049312
51.0,0.9979166666666667,1.0,81.0,49.0,27.213786848072562,0.2548873771730911,4/4,4,4,1,G,major,234.90767045454578,0.9637698480725625,-0.16091156657690886,0.04951557982805964
51.0,0.9979166666666667,1.0,66.0,49.0,27.213786848072562,0.2548873771730911,4/4,4,4,1,G,major,234.90767045454578,0.9637698480725625,-0.16091156657690886,0.04951557982805964
51.0,0.9979166666666667,1.0,67.0,49.0,27.213786848072562,0.2548873771730911,4/4,4,4,1,G,major,234.90767045454578,0.9637698480725625,-0.16091156657690886,0.04951557982805964
51.0,0.9979166666666667,1.0,74.0,49.0,27.213786848072562,0.32440211640211564,4/4,4,4,1,G,major,184.57031250000043,0.9637698480725625,-0.09139682734788435,0.048170274442279955
52.0,3.997916666666667,1.0,52.0,49.0,27.538866213151927,1.6709659863945625,4/4,4,4,1,G,major,143.5546874999996,0.8721822131519268,0.00516604264456233,0.05670872376916548
53.0,0.9979166666666667,1.0,83.0,49.0,27.956825396825398,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,0.8734743968253973,0.001289491624150818,0.05869080203892988
53.0,0.9979166666666667,1.0,67.0,49.0,27.956825396825398,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,0.8734743968253973,0.001289491624150818,0.05869080203892988
53.0,0.9979166666666667,1.0,72.0,49.0,27.956825396825398,0.4170884353741508,4/4,4,4,1,G,major,143.5546874999996,0.8734743968253973,0.001289491624150818,0.05869080203892988
53.0,0.9979166666666667,1.0,76.0,49.0,27.956825396825398,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085,0.8734743968253973,0.0012894916241472099,0.05869080203892988
54.0,0.9979166666666667,1.0,81.0,49.0,28.374784580498865,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085,0.8747665804988642,0.0012894916241472099,0.06387222649943533
54.0,0.9979166666666667,1.0,67.0,49.0,28.374784580498865,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085,0.8747665804988642,0.0012894916241472099,0.06387222649943533
54.0,0.9979166666666667,1.0,72.0,49.0,28.374784580498865,0.4170884353741472,4/4,4,4,1,G,major,143.55468750000085,0.8747665804988642,0.0012894916241472099,0.06387222649943533
54.0,0.9979166666666667,1.0,76.0,49.0,28.374784580498865,0.39391685563114376,4/4,4,4,1,G,major,151.999080882352,0.8747665804988642,-0.021882088118856224,0.058827972785510926
